iter	Passed	Remaining
361	677	1194
362	679	1192
363	681	1190
364	683	1188
365	684	1186
366	686	1184
367	688	1182
368	690	1180
369	692	1178
370	693	1176
371	695	1174
372	697	1172
373	699	1170
374	701	1168
375	702	1166
376	704	1164
377	706	1162
378	708	1160
379	709	1158
380	711	1156
381	713	1154
382	715	1152
383	717	1150
384	719	1148
385	721	1146
386	722	1145
387	724	1142
388	726	1141
389	728	1139
390	730	1137
391	731	1135
392	733	1133
393	735	1131
394	737	1129
395	739	1127
396	741	1125
397	742	1123
398	744	1121
399	746	1119
400	748	1117
401	749	1115
402	751	1113
403	754	1112
404	755	1110
405	757	1108
406	759	1106
407	761	1104
408	762	1102
409	764	1100
410	766	1098
411	768	1096
412	770	1094
413	772	1092
414	773	1090
415	775	1088
416	777	1086
417	779	1085
418	781	1083
419	783	1081
420	784	1079
421	786	1077
422	788	1075
423	790	1073
424	792	1071
425	793	1069
426	795	1067
427	797	1065
428	799	1063
429	800	1061
430	802	1059
431	804	1057
432	806	1055
433	808	1053
434	809	1051
435	811	1049
436	813	1048
437	815	1046
438	817	1044
439	819	1042
440	821	1040
441	822	1038
442	824	1036
443	826	1035
444	828	1033
445	830	1031
446	832	1029
447	834	1027
448	836	1025
449	837	1023
450	839	1022
451	841	1020
452	843	1018
453	844	1016
454	846	1014
