iter	RMSE
295	18120.42436
296	18070.15041
297	18024.49995
298	17988.8522
299	17947.18766
300	17914.76453
301	17875.8519
302	17835.70486
303	17802.42141
304	17742.32745
305	17709.82455
306	17653.18391
307	17605.82732
308	17570.04082
309	17529.91812
310	17498.18386
311	17459.71797
312	17407.03404
313	17373.87811
314	17335.09115
315	17305.56657
316	17267.62915
317	17228.35445
318	17191.28047
319	17152.13981
320	17105.30886
321	17075.13173
322	17028.19483
323	16987.93697
324	16954.76706
325	16915.46109
326	16881.44511
327	16841.24002
328	16811.09956
329	16774.07277
330	16735.40087
331	16700.73882
332	16670.78182
333	16638.18076
334	16604.43704
335	16572.90515
336	16537.87224
337	16506.7445
338	16475.45837
339	16445.20244
340	16401.88121
341	16377.06902
342	16311.1207
343	16281.8172
344	16249.36353
345	16222.98046
346	16183.29969
347	16127.68424
348	16099.23909
349	16074.81181
350	16035.32333
351	16005.01341
352	15968.81265
353	15941.47088
354	15915.19938
355	15889.80056
356	15863.56934
357	15836.37001
358	15805.49696
359	15780.02688
360	15742.08312
361	15720.4723
362	15687.08853
363	15657.93327
364	15627.28682
365	15598.8735
366	15574.43699
367	15545.48542
368	15505.44691
369	15478.4899
370	15444.48172
371	15406.7047
372	15384.19224
373	15365.54901
374	15340.01203
375	15311.19948
376	15276.66573
377	15252.01931
378	15224.98291
379	15195.8867
380	15167.37527
381	15142.06471
382	15115.87879
383	15092.90956
384	15062.31725
385	15040.75478
386	15018.52846
387	14997.31808
388	14981.84011
389	14960.11891
390	14934.81675
391	14901.52426
392	14882.82649
393	14861.87448
394	14840.97713
395	14819.11394
396	14789.09157
397	14765.11977
398	14735.22204
399	14711.7239
400	14692.64415
401	14673.80901
402	14653.53795
403	14624.34039
404	14607.43517
405	14587.56565
406	14563.4152
407	14534.63686
408	14503.22945
409	14479.52498
410	14460.85754
411	14437.05868
412	14417.04128
413	14399.62014
414	14379.07507
415	14352.96897
416	14332.15173
417	14311.52954
418	14295.47781
419	14270.7037
420	14251.12075
421	14232.25837
422	14205.31581
423	14181.3935
424	14157.95278
425	14136.12962
426	14110.14508
427	14088.62389
428	14072.22823
429	14056.59818
430	14037.42542
431	14010.9435
432	13992.73989
433	13974.3352
434	13943.6304
435	13918.9392
436	13900.65854
437	13881.95834
438	13863.87526
439	13849.85946
440	13832.68061
441	13811.79148
442	13789.7368
443	13772.68135
444	13750.16844
445	13732.07785
446	13715.9656
447	13700.34148
448	13672.66738
449	13658.8652
450	13641.01083
451	13625.5631
452	13611.35607
453	13594.33544
454	13579.82321
455	13548.61313
456	13530.88166
457	13512.87107
458	13495.73091
459	13481.65328
460	13465.07055
461	13452.1504
462	13421.25609
463	13398.56518
464	13381.49655
465	13364.25549
466	13351.19866
467	13336.22299
468	13300.82984
469	13279.73579
470	13263.42946
471	13251.3599
472	13232.59738
473	13205.55378
474	13189.18026
475	13171.39621
476	13160.8416
477	13148.80959
478	13135.4767
479	13122.61781
480	13099.06475
481	13074.89856
482	13061.13907
483	13044.58197
484	13016.82256
485	12999.47459
486	12977.01645
487	12963.00567
488	12945.59599
489	12929.62827
490	12900.48291
491	12882.69864
492	12868.4572
493	12855.13609
494	12834.83498
495	12814.07108
496	12798.3929
497	12777.91626
498	12763.44912
499	12751.89867
500	12738.34656
501	12719.90021
502	12701.68331
503	12689.37521
504	12674.11866
505	12661.4844
506	12645.88183
507	12633.40683
508	12615.59308
509	12603.01074
510	12574.92502
511	12561.36593
512	12543.03642
513	12527.76634
514	12516.14396
515	12504.80308
516	12495.31209
517	12470.21331
518	12453.94703
519	12434.99372
520	12409.53582
521	12386.47357
522	12371.54282
523	12357.13686
524	12342.63831
525	12330.08111
526	12313.4842
527	12299.32817
528	12287.8236
529	12276.08592
530	12264.76084
531	12256.35937
532	12245.07625
533	12227.96808
534	12216.78345
535	12198.85835
536	12183.83836
537	12173.93423
538	12158.12534
539	12145.5634
540	12129.70701
541	12120.66367
542	12107.44924
543	12096.9443
544	12081.90467
545	12061.54276
546	12046.16071
547	12034.8671
548	12019.45675
549	12004.77261
550	11986.81666
551	11978.23064
552	11966.82316
553	11954.69244
554	11939.12994
555	11929.38318
556	11919.04593
557	11904.21303
558	11890.90683
559	11875.80242
560	11865.52585
561	11845.67283
562	11836.68724
563	11813.49118
564	11800.80254
565	11788.39217
566	11777.08468
567	11755.70351
568	11747.25976
569	11736.53521
570	11728.58584
571	11710.51856
572	11698.46731
573	11685.71158
574	11675.32322
575	11665.45222
576	11657.75027
577	11645.3561
578	11633.64639
579	11619.98417
580	11607.30736
581	11598.87475
582	11590.60991
583	11581.63914
584	11573.43089
585	11560.21192
586	11548.01053
587	11534.04159
588	11524.02545
589	11514.96083
590	11505.52024
591	11494.48756
592	11485.09172
593	11473.64299
594	11466.09976
595	11456.56536
596	11447.81235
597	11436.95173
598	11423.79738
599	11415.27358
600	11408.53897
601	11393.67
602	11384.80783
603	11377.2489
604	11365.07046
605	11344.53628
606	11330.66307
607	11317.33718
608	11305.94074
609	11295.61887
610	11283.65128
611	11274.81141
612	11260.64454
613	11252.7049
614	11243.66599
615	11235.49833
616	11226.13107
617	11216.45311
618	11199.11282
619	11185.65399
620	11177.64083
621	11166.98402
622	11161.27782
623	11152.64256
624	11143.56521
625	11135.30924
626	11128.44514
627	11118.91607
628	11105.90951
629	11095.74397
630	11077.46877
631	11064.9379
632	11053.80818
633	11047.20024
634	11041.57382
635	11034.37403
636	11026.03748
637	11014.98245
638	11007.4092
639	10999.82725
640	10989.96416
641	10983.75677
642	10967.49747
643	10956.8836
644	10948.50889
645	10932.76439
646	10922.91927
647	10911.89306
648	10903.23423
649	10896.84997
650	10885.62583
651	10876.56311
652	10864.52658
653	10857.4882
654	10849.19694
655	10825.94354
656	10814.81979
657	10806.37632
658	10800.23898
659	10791.72679
660	10779.87943
661	10769.53426
662	10760.44301
663	10747.48016
664	10734.70572
665	10725.39296
666	10712.96496
667	10703.51796
668	10686.04707
669	10677.2581
670	10659.87774
671	10651.32356
672	10643.5963
673	10636.5691
674	10620.31604
675	10609.47665
676	10598.34897
677	10587.3136
678	10579.1888
679	10570.45773
680	10564.25275
681	10553.97949
682	10543.76387
683	10537.57522
684	10532.51455
685	10524.59348
686	10518.13996
687	10501.82746
688	10493.57179
689	10485.17123
690	10477.85646
691	10470.69439
692	10459.15477
693	10448.64091
694	10440.61636
695	10434.72122
696	10426.91793
697	10420.43219
698	10414.19537
699	10405.98735
700	10400.60184
701	10393.62823
702	10388.7144
703	10379.91235
704	10372.03732
705	10364.71058
706	10358.58401
707	10349.48209
708	10335.70302
709	10326.1348
710	10316.83687
711	10306.25949
712	10300.65028
713	10293.83372
714	10284.2831
715	10273.59461
716	10264.67914
717	10255.54365
718	10244.06449
719	10237.25869
720	10230.09382
721	10223.85756
722	10217.60412
723	10211.05738
724	10205.72686
725	10198.96253
726	10192.94905
727	10185.03865
728	10179.99832
729	10173.69998
730	10164.97329
731	10156.6179
732	10149.19902
733	10144.23502
734	10137.29196
735	10131.06173
736	10122.8625
737	10116.07472
738	10110.44797
739	10104.78274
740	10099.24026
741	10092.87153
742	10088.27707
743	10077.56781
744	10071.20713
745	10063.9992
746	10051.91643
747	10047.06019
748	10041.25743
749	10035.59151
750	10030.5564
751	10017.45831
752	10008.37897
753	10000.00372
754	9993.125291
755	9988.051813
756	9979.327591
757	9972.92375
758	9960.947496
759	9938.287074
760	9926.198489
761	9921.62713
762	9916.296046
763	9906.74754
764	9900.587808
765	9889.485714
766	9884.225709
767	9871.520678
768	9865.864552
769	9860.92457
770	9856.104129
771	9846.143102
772	9840.046262
773	9832.257862
774	9824.409655
775	9816.586472
776	9810.64483
777	9804.976571
778	9799.761726
779	9788.831167
780	9780.038172
781	9772.195788
782	9764.131361
783	9757.817039
784	9747.715109
785	9739.366126
786	9734.749915
787	9730.431525
788	9721.049221
789	9713.396872
790	9704.891489
791	9694.071464
792	9685.604417
793	9677.650876
794	9664.291052
795	9658.07408
796	9648.892604
797	9645.168346
798	9633.123127
799	9628.456678
800	9617.083165
801	9606.185911
802	9600.72692
803	9595.283727
804	9590.938123
805	9573.034525
806	9568.211178
807	9552.276192
808	9546.925366
809	9543.347416
810	9538.580105
811	9533.073653
812	9522.45593
813	9515.804384
814	9508.521229
815	9497.677445
816	9493.576745
817	9484.97348
818	9480.769367
819	9475.894922
820	9470.944145
821	9457.327106
822	9451.682044
823	9445.187555
824	9437.063481
825	9430.19445
826	9421.766002
827	9417.033549
828	9410.239192
829	9401.774346
830	9396.430756
831	9390.965277
832	9386.159995
833	9378.597901
834	9371.130996
835	9367.559917
836	9355.082168
837	9342.537385
838	9335.84089
839	9327.350973
840	9321.786162
841	9318.241215
842	9309.227607
843	9304.649496
844	9295.457611
845	9288.994454
846	9279.362605
847	9271.571448
848	9266.81241
849	9261.857214
850	9255.362955
851	9251.74118
852	9244.719255
853	9239.062994
854	9235.432187
855	9230.911767
856	9223.79838
857	9220.026899
858	9215.394748
859	9204.182334
860	9198.565414
861	9195.402297
862	9188.138537
863	9183.100554
864	9177.690215
865	9171.914625
866	9165.480032
867	9153.381633
868	9146.620545
869	9135.316062
870	9132.24808
871	9125.678839
872	9116.593539
873	9111.803151
874	9104.402281
875	9098.85071
876	9094.404879
877	9083.52222
878	9078.975955
879	9074.145976
880	9070.060567
881	9063.965672
882	9057.972445
883	9050.567868
884	9046.62086
885	9041.05676
886	9033.143256
887	9029.171439
888	9024.232893
889	9019.452854
890	9015.10486
891	9008.94798
892	9005.551647
893	9000.229511
894	8994.271544
895	8988.959873
896	8976.783411
897	8971.843671
898	8966.968978
899	8961.578832
900	8956.280218
901	8951.168364
902	8946.342107
903	8943.600311
904	8940.299896
905	8931.100586
906	8924.76966
907	8917.055682
908	8911.685828
909	8907.901122
910	8903.699231
911	8898.456519
912	8894.916091
913	8890.914568
914	8883.258686
915	8877.724557
916	8873.338853
917	8869.94687
918	8866.017385
919	8862.832816
920	8860.213339
921	8854.008139
922	8845.33431
923	8841.0983
924	8838.090486
925	8828.784307
926	8820.897245
927	8809.73013
928	8803.722707
929	8801.09384
930	8794.8402
931	8789.440402
932	8786.396229
933	8780.109813
934	8775.805942
935	8773.337708
936	8768.173894
937	8763.964597
938	8757.929809
939	8753.103092
940	8744.539059
941	8741.561067
942	8737.352967
943	8733.249515
944	8726.822816
945	8722.057963
946	8715.693811
947	8712.137784
948	8707.183914
949	8701.861266
950	8698.631326
951	8694.160699
952	8687.428479
953	8684.444547
954	8679.64083
955	8674.767795
956	8668.800361
957	8666.723135
958	8664.724276
959	8660.048583
960	8656.09593
961	8652.790466
962	8646.785361
963	8641.65458
964	8636.342256
965	8630.954233
966	8626.76977
967	8619.930451
968	8614.500061
969	8606.659187
970	8604.357193
971	8596.464954
972	8592.83878
973	8589.900162
974	8586.116907
975	8580.155845
976	8574.572372
977	8571.024578
978	8566.318666
979	8562.455027
980	8559.47884
981	8555.238946
982	8550.874215
983	8543.663982
984	8535.242039
985	8529.26835
986	8520.321295
987	8516.585243
988	8512.086612
989	8506.435706
990	8502.656331
991	8498.798421
992	8494.983941
993	8490.105761
994	8485.370232
995	8480.724808
996	8477.843394
997	8472.531048
998	8468.457608
999	8464.115004
