Modelo,Combinación de Características,Puntaje R^2
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, total sulfur dioxide, density, alcohol",0.4095438331473693
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, total sulfur dioxide, pH, sulphates",0.35260959574285466
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, total sulfur dioxide, pH, alcohol",0.38944241695991766
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, total sulfur dioxide, sulphates, alcohol",0.41739181186164276
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, density, pH, sulphates",0.33267077504076903
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, density, pH, alcohol",0.360628409578577
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, density, sulphates, alcohol",0.3717640030898637
RandomForestRegressor,"fixed acidity, citric acid, residual sugar, pH, sulphates, alcohol",0.38941110634280307
RandomForestRegressor,"fixed acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, density",0.2786033816839756
RandomForestRegressor,"fixed acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, pH",0.23707451720882322
RandomForestRegressor,"fixed acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates",0.38357634537807916
RandomForestRegressor,"fixed acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, alcohol",0.36654831344948924
RandomForestRegressor,"fixed acidity, citric acid, chlorides, free sulfur dioxide, density, pH",0.2938862586902412
RandomForestRegressor,"fixed acidity, citric acid, chlorides, free sulfur dioxide, density, sulphates",0.3689570337310103
RandomForestRegressor,"fixed acidity, citric acid, chlorides, free sulfur dioxide, density, alcohol",0.39420108145223587
RandomForestRegressor,"fixed acidity, citric acid, chlorides, free sulfur dioxide, pH, sulphates",0.3168166165994336
RandomForestRegressor,"fixed acidity, citric acid, chlorides, free sulfur dioxide, pH, alcohol",0.3824260921809287
RandomForestRegressor,"fixed acidity, citric acid, chlorides, free sulfur dioxide, sulphates, alcohol",0.3997529482447858
RandomForestRegressor,"fixed acidity, citric acid, chlorides, total sulfur dioxide, density, pH",0.30745858724572994
RandomForestRegressor,"fixed acidity, citric acid, chlorides, total sulfur dioxide, density, sulphates",0.43450114153291564
RandomForestRegressor,"fixed acidity, citric acid, chlorides, total sulfur dioxide, density, alcohol",0.3762694360999056
RandomForestRegressor,"fixed acidity, citric acid, chlorides, total sulfur dioxide, pH, sulphates",0.3760733327611363
RandomForestRegressor,"fixed acidity, citric acid, chlorides, total sulfur dioxide, pH, alcohol",0.3950074671702001
RandomForestRegressor,"fixed acidity, citric acid, chlorides, total sulfur dioxide, sulphates, alcohol",0.42145120590507246
RandomForestRegressor,"fixed acidity, citric acid, chlorides, density, pH, sulphates",0.3584586387434555
RandomForestRegressor,"fixed acidity, citric acid, chlorides, density, pH, alcohol",0.3567958801819585
RandomForestRegressor,"fixed acidity, citric acid, chlorides, density, sulphates, alcohol",0.38227173633164546
RandomForestRegressor,"fixed acidity, citric acid, chlorides, pH, sulphates, alcohol",0.38645637284353274
RandomForestRegressor,"fixed acidity, citric acid, free sulfur dioxide, total sulfur dioxide, density, pH",0.2893269933911251
RandomForestRegressor,"fixed acidity, citric acid, free sulfur dioxide, total sulfur dioxide, density, sulphates",0.4210106600291821
